id_evento,tema_principal,tema_0,tema_1,tema_2
1051/11,0,0.6279,0.1843,0.1877
1084/11,0,0.8975,0.0057,0.0967
1121/11,2,0.1477,0.0009,0.8514
1149/11,0,0.9978,0.0001,0.0021
1178/11,2,0.0679,0.0001,0.932
1217/11,0,0.663,0.0106,0.3264
1316/11,2,0.1499,0.3181,0.532
1348/11,0,0.9878,0.0071,0.0051
1451/11,0,0.633,0.3034,0.0637
1460/11,2,0.0619,0.0001,0.938
1486/11,0,0.5922,0.0001,0.4077
1499/11,0,0.6077,0.3653,0.027
1539/11,0,0.9957,0.0001,0.0042
1571/11,0,0.9994,0.0001,0.0005
1697/11,2,0.3093,0.0001,0.6906
1708/11,0,0.9954,0.0043,0.0003
1773/11,2,0.0193,0.0039,0.9768
1800/11,0,0.9627,0.0001,0.0372
1823/11,0,0.7404,0.0099,0.2497
1909/11,0,0.6561,0.048,0.2959
1996/11,0,0.9998,0.0001,0.0001
1983/11,0,0.9999,0.0001,0.0001
2123/11,2,0.044,0.0001,0.956
0133/12,1,0.1009,0.8508,0.0484
0159/12,2,0.0001,0.2876,0.7122
0194/12,0,0.9998,0.0001,0.0001
0233/12,2,0.0012,0.0026,0.9962
0262/12,2,0.0107,0.0001,0.9892
0280/12,0,0.9502,0.0448,0.0051
0278/12,2,0.0001,0.0008,0.9991
0311/12,2,0.0003,0.3305,0.6692
0337/12,0,0.9174,0.0001,0.0825
0336/12,2,0.0041,0.0002,0.9957
0408/12,0,0.9998,0.0001,0.0001
0473/12,0,0.6395,0.0051,0.3554
0632/12,0,0.9049,0.0228,0.0723
0498/12,1,0.1221,0.4958,0.3821
0495/12,0,0.9831,0.0001,0.0169
0480/12,2,0.0367,0.0379,0.9254
0541/12,0,0.88,0.0001,0.1199
0543/12,2,0.1724,0.0001,0.8275
0538/12,2,0.0281,0.3437,0.6282
0560/12,0,0.9859,0.0001,0.0141
0614/12,2,0.1119,0.0001,0.8881
0593/12,0,0.9055,0.0461,0.0483
0649/12,0,0.8895,0.0001,0.1105
0732/12,1,0.0001,0.7188,0.2811
0775/12,0,0.9519,0.0001,0.048
0798/12,2,0.182,0.2431,0.5749
0799/12,2,0.3389,0.3191,0.342
0801/12,0,0.9999,0.0001,0.0001
0795/12,2,0.169,0.013,0.818
0782/12,2,0.0426,0.0002,0.9572
0916/12,2,0.0533,0.0142,0.9325
0919/12,2,0.0017,0.2318,0.7666
0920/12,2,0.0001,0.0401,0.9598
0939/12,0,0.9819,0.0001,0.0181
0966/12,2,0.1708,0.0001,0.8291
0957/12,0,0.7874,0.1922,0.0204
0988/12,0,0.9998,0.0001,0.0001
1031/12,2,0.0061,0.0001,0.9938
1017/12,2,0.1658,0.0002,0.834
1014/12,2,0.0001,0.0001,0.9999
1037T/12,2,0.0066,0.0001,0.9933
1037/12,2,0.0046,0.0001,0.9954
1036T/12,2,0.0278,0.0002,0.972
1036/12,2,0.0233,0.0001,0.9766
1047/12,2,0.0068,0.4093,0.5839
1084/12,2,0.0246,0.0001,0.9753
1098/12,0,0.9998,0.0001,0.0001
1127/12,0,0.9968,0.0,0.0031
1165/12,2,0.0001,0.0023,0.9976
1163/12,2,0.0032,0.0001,0.9968
1238/12,0,0.897,0.0652,0.0379
1269/12,0,0.9998,0.0001,0.0001
1326/12,2,0.0585,0.2253,0.7162
1337/12,0,0.9925,0.0,0.0075
1354/12,0,0.9765,0.0001,0.0234
1519/12,0,0.6171,0.171,0.2119
1562/12,0,0.9912,0.0001,0.0087
1693/12,0,0.9999,0.0001,0.0001
1731/12,2,0.0002,0.0002,0.9997
1772/12,0,0.9998,0.0001,0.0001
1768/12,0,0.9839,0.016,0.0001
1793/12,0,0.9998,0.0001,0.0001
1791/12,2,0.06,0.1238,0.8161
1798/12,2,0.0001,0.0035,0.9965
0024/13,0,0.951,0.0311,0.0179
0124/13,1,0.0558,0.944,0.0002
0148/13,2,0.0753,0.0848,0.84
0142/13,0,0.6679,0.3319,0.0001
0172/13,0,0.9999,0.0001,0.0001
0193/13,2,0.3349,0.0017,0.6634
0191/13,2,0.0009,0.0166,0.9825
0181/13,1,0.0054,0.9651,0.0294
0224/13,1,0.053,0.9093,0.0377
0218/13,0,0.9665,0.0203,0.0132
0201/13,0,0.9999,0.0,0.0
0355/13,2,0.1869,0.0001,0.813
0378/13,1,0.1378,0.7012,0.1609
0411/13,2,0.167,0.0208,0.8122
0409/13,0,0.9998,0.0001,0.0001
0406/13,1,0.0235,0.748,0.2285
0453/13,0,0.9702,0.0098,0.02
0474/13,1,0.0284,0.9715,0.0001
0465/13,0,0.7347,0.0574,0.2079
0497/13,2,0.0001,0.1841,0.8158
0515/13,0,0.9912,0.0001,0.0087
0507/13,0,0.9998,0.0001,0.0001
2306/13,0,0.9998,0.0001,0.0001
2308/13,0,0.8983,0.1015,0.0002
0629/13,2,0.0001,0.0724,0.9276
0652/13,0,0.9923,0.0075,0.0001
0661/13,2,0.0059,0.4406,0.5535
0703/13,2,0.0115,0.004,0.9845
0727/13,0,0.9999,0.0001,0.0001
0751/13,2,0.006,0.0001,0.994
0756/13,2,0.2044,0.024,0.7716
0776/13,0,0.6065,0.1009,0.2926
0790/13,2,0.0001,0.4616,0.5383
0788/13,0,0.964,0.0115,0.0244
0803/13,2,0.2892,0.005,0.7058
0832/13,2,0.0114,0.0082,0.9804
0850/13,0,0.645,0.0069,0.3482
0899/13,2,0.0006,0.0235,0.9759
0884/13,0,0.9474,0.0139,0.0386
0914/13,2,0.2115,0.0001,0.7884
0963/13,2,0.0001,0.1386,0.8613
1063/13,0,0.7637,0.1514,0.0848
1073/13,0,0.6887,0.0007,0.3106
1145/13,0,0.9281,0.0718,0.0001
1206/13,1,0.0295,0.5339,0.4366
1224/13,2,0.0006,0.0111,0.9883
1218/13,2,0.0001,0.1214,0.8786
1299/13,0,0.5836,0.0272,0.3892
1358/13,1,0.0588,0.8772,0.0639
1356/13,0,0.758,0.0264,0.2156
1404/13,0,0.9698,0.0001,0.0301
1413/13,0,0.987,0.0001,0.0129
1429/13,2,0.1946,0.0317,0.7738
1424/13,2,0.189,0.0792,0.7317
1494/13,2,0.1548,0.1366,0.7086
1492/13,0,0.9997,0.0001,0.0001
1524/13,0,0.601,0.0143,0.3847
1558/13,0,0.9905,0.0094,0.0001
1557/13,1,0.0165,0.835,0.1485
1588/13,2,0.0456,0.1163,0.8381
1609/13,0,0.922,0.0028,0.0752
1641/13,2,0.0617,0.0605,0.8778
1633/13,0,0.7692,0.2079,0.0229
1736/13,0,0.9532,0.0001,0.0467
1763/13,2,0.0001,0.072,0.9279
1775/13,0,0.825,0.0644,0.1106
1786/13,0,0.9152,0.0052,0.0796
1860/13,0,0.9708,0.0,0.0292
1900/13,2,0.024,0.0155,0.9605
1910/13,0,0.7146,0.0203,0.2651
1923/13,0,0.9565,0.0385,0.005
1962/13,2,0.0002,0.0463,0.9536
1977/13,0,0.8577,0.0071,0.1351
1989/13,0,0.9999,0.0001,0.0001
2054/13,0,0.9997,0.0002,0.0002
